id,name,symbol,slug,cmc_rank,max_supply,circulating_supply,total_supply,date_added,last_updated,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,tags
6945,Amp,AMP,amp,135,,84231565354.4628,99669430156.6247,2020-09-08T00:00:00.000Z,2025-03-22T17:11:00.000Z,0.004105490838494636,18970317.28158425,-0.21784081,-0.35145935,-2.9135369,-22.38293123,-46.09035225,-47.62725743,345811919.87480927,0.0125,409191932.39,"ethereum-ecosystem,alleged-sec-securities,made-in-america"
1659,Gnosis,GNO,gnosis-gno,136,,2588194.7851299,2999934.74597423,2017-05-01T00:00:00.000Z,2025-03-22T17:11:00.000Z,128.72868437954253,3805345.41473686,0.09672768,2.87456,1.35988785,-28.02606218,-45.27604726,-50.9895963,333174909.6077648,0.0121,386177653.07,"services,decentralized-exchange-dex-token,defi,prediction-markets,kenetic-capital-portfolio,arbitrum-ecosystem,layer-1,gnosis-chain-ecosystem"
7431,Akash Network,AKT,akash-network,137,388539008.0,248285794.661141,248285800.802151,2020-10-16T00:00:00.000Z,2025-03-22T17:11:00.000Z,1.3262677212698653,13728876.67544926,1.3947448,11.85939878,-2.57123474,-28.26244598,-53.86187643,-57.95710697,329293435.1089092,0.0119,515306744.76,"cosmos-ecosystem,ai-big-data,distributed-computing,web3,injective-ecosystem,osmosis-ecosystem,generative-ai,depin,made-in-america"
8646,Mina,MINA,mina,138,,1221367138.8400393,1221367138.8400393,2021-03-02T00:00:00.000Z,2025-03-22T17:11:00.000Z,0.26926507189288307,14464693.88407498,0.94538085,3.93470288,1.33106785,-22.99468892,-47.99793525,-55.45465177,328871510.4473681,0.0119,328871510.45,"pos,zero-knowledge-proofs,staking,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio"
29743,Brett (Based),BRETT,based-brett,139,10000000000.0,9910236395.0,9910236395.0,2024-03-11T07:58:23.000Z,2025-03-22T17:11:00.000Z,0.03308011266271061,19013912.38638025,0.04436053,3.49417949,-0.76700226,-29.4439177,-64.69220023,-74.409601,327831736.460695,0.0119,330801126.63,"memes,base-ecosystem"
32956,Grass,GRASS,grass,140,,243905091.0,1000000000.0,2024-10-28T05:31:00.000Z,2025-03-22T17:11:00.000Z,1.3259059960146442,34277528.62856128,1.34798075,6.43692526,-10.42017675,-29.61417642,-26.9564086,-48.95612045,323395222.61539745,0.0117,1325905996.01,"ai-big-data,solana-ecosystem,depin"
34104,Morpho,MORPHO,morpho,141,1000000000.0,236230122.18968186,1000000000.0,2024-11-21T10:30:00.000Z,2025-03-22T17:11:00.000Z,1.362740657046829,8553397.45353862,0.39754999,2.37268008,2.73759015,-39.67770557,-58.01040723,-38.74194838,321920391.9270198,0.0117,1362740657.05,"defi,ethereum-ecosystem,coinbase-ventures-portfolio,lending-borowing,fenbushi-capital-portfolio,pantera-capital-portfolio,base-ecosystem,binance-alpha"
33280,Cheems (cheems.pet),CHEEMS,cheems-pet,142,203672960023058.0,187495034775398.0,203672952644644.2,2024-10-03T03:58:19.000Z,2025-03-22T17:11:00.000Z,1.671074393654101e-06,24505334.76317497,14.33750937,11.1124151,68.49861433,90.34887836,111.35910499,63.15075584,313318151.55045277,0.0114,340352668.17,"memes,doggone-doggerel,bnb-chain-ecosystem,binance-alpha"
35763,KAITO,KAITO,kaito,143,1000000000.0,241388889.0,1000000000.0,2025-02-14T13:09:33.000Z,2025-03-22T17:10:00.000Z,1.3234200249359838,83365657.07307751,0.84200187,-0.56843607,-8.86348399,34.6459932,13.30721396,13.30721396,319458889.4996494,0.0116,1323420024.94,"communications-social-media,ai-big-data,social-token,governance,dragonfly-capital-portfolio,hashkey-capital-portfolio,spartan-group,base-ecosystem,binance-hodler-airdrops"
9104,AIOZ Network,AIOZ,aioz-network,144,,1164617054.737497,1164617054.737497,2021-04-02T00:00:00.000Z,2025-03-22T17:11:00.000Z,0.2732812324248407,9297265.49867593,0.67273979,1.37208146,0.70233563,-40.40260502,-68.50079618,-70.98261226,318267984.0216514,0.0115,318267984.02,"media,platform,ai-big-data,distributed-computing,smart-contracts,video,storage,web3,generative-ai,layer-1,dwf-labs-portfolio,depin"
